memeid,filename,uppercaption,lowercaption,upvote,best_score,worst_score,bws_score,humor_two_class,subset,url
9525,skeptical-african-kid.jpg,so you're telling me,americans complain about getting too much food,4.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/45183824/skeptical-african-kid-so-youre-telling-me-americans-complain-about-getting-too-much-food
1365,grumpy-cat.jpg,justin bieber is going to space,"good, leave him there",170.0,1.0,0.0,1.0,1,5,https://memegenerator.net/instance/38498510/grumpy-cat-face-justin-bieber-is-going-to-space-good-leave-him-there
3206,skeptical-3rd-world-kid.jpg,you're telling me you have a machine,so you can walk when you don't need to go somewhere?,39.0,1.0,0.0,1.0,1,8,None
2143,what-if-i-told-you.jpg,what if i told you ,you can eat without posting it to facebook,59.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/35536107/what-if-i-told-you-what-if-i-told-you-you-can-eat-without-posting-it-to-facebook
12822,bear-grylls.jpg,no heating in house,burn house for warmth,9.0,1.0,0.0,1.0,1,7,https://memegenerator.net/instance/12389791
6948,correction-guy.jpg,"no you may not ""axe"" me a question",i don't speak walmart,7.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/33312662/correction-guy-no-you-may-not-axe-me-a-question-i-dont-speak-walmart
370,willy-wonka.jpg,michael phelps sucks does he?,could you please show me your 17 olympic medals,88.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/24205374/willy-wonka-michael-phelps-sucks-does-he-could-you-please-show-me-your-17-olympic-medals
5554,koala-cant-believe-it.jpg,i'm not..., a bear?,163.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/49803099/the-rape-sloth-you-like-gummy-bears-im-not-a-bear-but-im-gummy
10,y-u-no.jpg,stuffy nose,y u switch nostrils,203.0,1.0,0.0,1.0,1,7,https://memegenerator.net/instance/14487821/y-u-no-stuffy-nose-y-u-switch-nostrils
11874,i-should-buy-a-boat-cat.jpg,,i cant read...,10.0,1.0,0.0,1.0,1,9,https://memegenerator.net/instance/32805439/rich-cat-wait-a-minute-i-cant-read-screw-the-rules-i-have-money
